                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.67616,                0.85171,                0.97375,                 1.7171,             0.00023739,             0.00023739,             0.00023739
                      1,                0.10623,                0.96194,                      1,                 1.5966,             0.00045971,             0.00045971,             0.00045971
                      2,                0.05545,                0.95932,                0.99869,                 1.5841,             0.00066631,             0.00066631,             0.00066631
                      3,                0.04503,                0.97244,                0.99869,                  1.579,             0.00064331,             0.00064331,             0.00064331
                      4,                0.02945,                0.97244,                0.99869,                 1.5741,             0.00064331,             0.00064331,             0.00064331
                      5,                0.02684,                 0.9685,                      1,                 1.5733,             0.00061975,             0.00061975,             0.00061975
                      6,                0.02117,                0.98031,                      1,                 1.5686,             0.00059619,             0.00059619,             0.00059619
                      7,                0.01843,                0.97769,                      1,                 1.5662,             0.00057263,             0.00057263,             0.00057263
                      8,                 0.0127,                0.99344,                      1,                 1.5571,             0.00054907,             0.00054907,             0.00054907
                      9,                0.01105,                0.99081,                0.99869,                 1.5605,              0.0005255,              0.0005255,              0.0005255
                     10,                0.01065,                0.98819,                0.99869,                 1.5594,             0.00050194,             0.00050194,             0.00050194
                     11,                0.01017,                0.98819,                      1,                 1.5605,             0.00047838,             0.00047838,             0.00047838
                     12,                0.00883,                0.98819,                0.99869,                 1.5579,             0.00045482,             0.00045482,             0.00045482
                     13,                0.00825,                0.98556,                      1,                 1.5588,             0.00043126,             0.00043126,             0.00043126
                     14,                0.00748,                0.99081,                      1,                 1.5585,             0.00040769,             0.00040769,             0.00040769
                     15,                0.00744,                0.99475,                      1,                 1.5576,             0.00038413,             0.00038413,             0.00038413
                     16,                0.00642,                0.98819,                      1,                 1.5564,             0.00036057,             0.00036057,             0.00036057
                     17,                0.00451,                0.99344,                      1,                 1.5569,             0.00033701,             0.00033701,             0.00033701
                     18,                0.00593,                0.98688,                0.99869,                 1.5587,             0.00031345,             0.00031345,             0.00031345
                     19,                 0.0057,                0.98819,                0.99738,                 1.5592,             0.00028988,             0.00028988,             0.00028988
                     20,                0.00572,                 0.9895,                0.99738,                 1.5571,             0.00026632,             0.00026632,             0.00026632
                     21,                0.00411,                0.99081,                      1,                 1.5559,             0.00024276,             0.00024276,             0.00024276
                     22,                0.00459,                0.99213,                      1,                 1.5552,              0.0002192,              0.0002192,              0.0002192
                     23,                0.00382,                0.99081,                0.99869,                  1.556,             0.00019564,             0.00019564,             0.00019564
                     24,                0.00347,                0.99081,                0.99869,                 1.5555,             0.00017207,             0.00017207,             0.00017207
                     25,                0.00281,                0.99344,                0.99869,                 1.5549,             0.00014851,             0.00014851,             0.00014851
                     26,                0.00294,                0.99475,                      1,                 1.5539,             0.00012495,             0.00012495,             0.00012495
                     27,                0.00247,                0.99213,                      1,                  1.555,             0.00010139,             0.00010139,             0.00010139
                     28,                0.00257,                0.99344,                      1,                 1.5549,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.00206,                0.99475,                      1,                 1.5541,             5.4264e-05,             5.4264e-05,             5.4264e-05
