                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.90129,                0.35171,                0.72047,                 1.9524,             0.00023739,             0.00023739,             0.00023739
                      1,                0.41763,                0.65617,                0.93176,                 1.8155,             0.00045971,             0.00045971,             0.00045971
                      2,                0.23602,                0.82152,                0.97375,                 1.7113,             0.00066631,             0.00066631,             0.00066631
                      3,                0.15744,                 0.9042,                0.99475,                 1.6499,             0.00064331,             0.00064331,             0.00064331
                      4,                0.10584,                0.91207,                0.99475,                 1.6367,             0.00064331,             0.00064331,             0.00064331
                      5,                0.08624,                 0.9357,                0.99475,                 1.6099,             0.00061975,             0.00061975,             0.00061975
                      6,                0.06696,                0.96457,                0.99738,                 1.5979,             0.00059619,             0.00059619,             0.00059619
                      7,                0.06152,                0.94882,                0.99475,                 1.5955,             0.00057263,             0.00057263,             0.00057263
                      8,                 0.0521,                0.95013,                0.99738,                 1.5951,             0.00054907,             0.00054907,             0.00054907
                      9,                0.04352,                0.95801,                0.99869,                 1.5883,              0.0005255,              0.0005255,              0.0005255
                     10,                0.03871,                0.95932,                0.99738,                  1.587,             0.00050194,             0.00050194,             0.00050194
                     11,                0.03705,                0.96325,                0.99344,                 1.5835,             0.00047838,             0.00047838,             0.00047838
                     12,                 0.0344,                0.96982,                0.99738,                 1.5786,             0.00045482,             0.00045482,             0.00045482
                     13,                0.02988,                0.97244,                0.99606,                 1.5744,             0.00043126,             0.00043126,             0.00043126
                     14,                0.02878,                0.96719,                0.99738,                  1.578,             0.00040769,             0.00040769,             0.00040769
                     15,                0.02813,                0.96719,                0.99869,                  1.577,             0.00038413,             0.00038413,             0.00038413
                     16,                0.02386,                0.97638,                0.99738,                 1.5695,             0.00036057,             0.00036057,             0.00036057
                     17,                0.02076,                0.98031,                0.99869,                 1.5689,             0.00033701,             0.00033701,             0.00033701
                     18,                0.02063,                0.98556,                0.99869,                 1.5656,             0.00031345,             0.00031345,             0.00031345
                     19,                0.01747,                  0.979,                0.99869,                 1.5695,             0.00028988,             0.00028988,             0.00028988
                     20,                0.01652,                  0.979,                0.99869,                 1.5689,             0.00026632,             0.00026632,             0.00026632
                     21,                0.01537,                0.98294,                0.99869,                 1.5669,             0.00024276,             0.00024276,             0.00024276
                     22,                0.01539,                0.97769,                0.99869,                 1.5684,              0.0002192,              0.0002192,              0.0002192
                     23,                0.01313,                0.98819,                0.99869,                 1.5638,             0.00019564,             0.00019564,             0.00019564
                     24,                0.01207,                0.98556,                0.99869,                 1.5644,             0.00017207,             0.00017207,             0.00017207
                     25,                0.01095,                0.98819,                0.99869,                 1.5632,             0.00014851,             0.00014851,             0.00014851
                     26,                0.01174,                0.98556,                0.99869,                 1.5635,             0.00012495,             0.00012495,             0.00012495
                     27,                 0.0098,                 0.9895,                0.99869,                 1.5625,             0.00010139,             0.00010139,             0.00010139
                     28,                0.00831,                0.98556,                0.99869,                  1.563,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.00878,                0.98688,                0.99869,                 1.5623,             5.4264e-05,             5.4264e-05,             5.4264e-05
