                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85234,                0.48425,                0.82677,                 1.8958,             0.00023739,             0.00023739,             0.00023739
                      1,                 0.3073,                0.84908,                0.98163,                 1.6977,             0.00045971,             0.00045971,             0.00045971
                      2,                0.14064,                0.87402,                0.98425,                 1.6621,             0.00066631,             0.00066631,             0.00066631
                      3,                0.08317,                 0.9357,                0.99606,                 1.6106,             0.00064331,             0.00064331,             0.00064331
                      4,                0.05366,                0.95144,                0.99475,                 1.5896,             0.00064331,             0.00064331,             0.00064331
                      5,                 0.0335,                0.95538,                0.99606,                 1.5877,             0.00061975,             0.00061975,             0.00061975
                      6,                0.02491,                0.95801,                0.99475,                 1.5801,             0.00059619,             0.00059619,             0.00059619
                      7,                0.02107,                0.96325,                0.99738,                 1.5734,             0.00057263,             0.00057263,             0.00057263
                      8,                0.01448,                0.96719,                0.99738,                 1.5717,             0.00054907,             0.00054907,             0.00054907
                      9,                0.01026,                0.97638,                      1,                  1.567,              0.0005255,              0.0005255,              0.0005255
                     10,                0.00861,                0.97638,                      1,                 1.5666,             0.00050194,             0.00050194,             0.00050194
                     11,                0.00698,                0.96719,                0.99869,                  1.568,             0.00047838,             0.00047838,             0.00047838
                     12,                0.00483,                0.97244,                      1,                 1.5658,             0.00045482,             0.00045482,             0.00045482
                     13,                0.00582,                0.97375,                0.99738,                 1.5664,             0.00043126,             0.00043126,             0.00043126
                     14,                0.00353,                0.98294,                      1,                  1.561,             0.00040769,             0.00040769,             0.00040769
                     15,                0.00207,                0.98031,                0.99869,                 1.5621,             0.00038413,             0.00038413,             0.00038413
                     16,                0.00257,                0.98556,                      1,                 1.5601,             0.00036057,             0.00036057,             0.00036057
                     17,                 0.0024,                  0.979,                0.99869,                 1.5633,             0.00033701,             0.00033701,             0.00033701
                     18,                0.00125,                0.98425,                0.99869,                 1.5606,             0.00031345,             0.00031345,             0.00031345
                     19,                0.00119,                0.98556,                0.99869,                 1.5596,             0.00028988,             0.00028988,             0.00028988
                     20,                0.00072,                0.98556,                      1,                  1.559,             0.00026632,             0.00026632,             0.00026632
                     21,                0.00062,                0.98556,                      1,                  1.559,             0.00024276,             0.00024276,             0.00024276
                     22,                0.00059,                0.98425,                      1,                 1.5596,              0.0002192,              0.0002192,              0.0002192
                     23,                0.00047,                0.98163,                      1,                 1.5592,             0.00019564,             0.00019564,             0.00019564
                     24,                0.00051,                0.98425,                      1,                 1.5584,             0.00017207,             0.00017207,             0.00017207
                     25,                0.00058,                0.98688,                0.99869,                 1.5581,             0.00014851,             0.00014851,             0.00014851
                     26,                0.00043,                0.98556,                      1,                 1.5574,             0.00012495,             0.00012495,             0.00012495
                     27,                0.00034,                0.98688,                      1,                 1.5573,             0.00010139,             0.00010139,             0.00010139
                     28,                0.00025,                0.98688,                      1,                 1.5577,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.00032,                0.98688,                      1,                 1.5577,             5.4264e-05,             5.4264e-05,             5.4264e-05
